train_station_id,active_status,train_station_code,train_station_contact_number,train_station_name,version_id,geo_location_id,geo_location_id,latitude,longitude,version_id,train_line_station_id,active_status,distance_from_end_station,distance_from_start_station,distance_to_next_station,distance_to_previous_station,version_id,next_station_id,previous_station_id,train_line_id,train_station_id
6,YES,AWP,0000000000,Alawatupitiya,0,6,6,0,0,0,140,YES,0,0,0,0,0,NULL,NULL,3,6
12,YES,AVD,0000000000,Anawilundawa,0,12,12,0,0,0,141,YES,0,0,0,0,0,NULL,NULL,3,12
18,YES,AKT,0000000000,Arachchikattuwa,0,18,18,0,0,0,142,YES,0,0,0,0,0,NULL,NULL,3,18
29,YES,BGY,0000000000,Bangadeniya,0,29,29,0,0,0,143,YES,0,0,0,0,0,NULL,NULL,3,29
31,YES,BOA,0000000000,Battaluoya,0,31,31,0,0,0,144,YES,0,0,0,0,0,NULL,NULL,3,31
37,YES,BLT,0000000000,Bolawatte,0,37,37,0,0,0,145,YES,0,0,0,0,0,NULL,NULL,3,37
39,YES,BSA,0000000000,Borelessa,0,39,39,0,0,0,146,YES,0,0,0,0,0,NULL,NULL,3,39
44,YES,CHL,0000000000,Chilaw,0,44,44,0,0,0,147,YES,0,0,0,0,0,NULL,NULL,3,44
46,YES,FOT,0000000000,"Colombo Fort",0,46,46,0,0,0,148,YES,0,0,0,0,0,NULL,NULL,3,46
51,YES,DAG,0000000000,Dematagoda,0,51,51,0,0,0,149,YES,0,0,0,0,0,NULL,NULL,3,51
59,YES,EDM,0000000000,Enderamulla,0,59,59,0,0,0,150,YES,0,0,0,0,0,NULL,NULL,3,59
62,YES,EPN,0000000000,"Erukkalam Pendu",0,62,62,0,0,0,151,YES,0,0,0,0,0,NULL,NULL,3,62
63,YES,IPZ,0000000000,"Free Trade Zone",0,63,63,0,0,0,152,YES,0,0,0,0,0,NULL,NULL,3,63
98,YES,HRP,0000000000,Horape,0,98,98,0,0,0,153,YES,0,0,0,0,0,NULL,NULL,3,98
100,YES,HUN,0000000000,Hunupitiya,0,100,100,0,0,0,154,YES,0,0,0,0,0,NULL,NULL,3,100
107,YES,JLA,0000000000,Ja-Ela,0,107,107,0,0,0,155,YES,0,0,0,0,0,NULL,NULL,3,107
114,YES,KYA,0000000000,Kakkapalliya,0,114,114,0,0,0,156,YES,0,0,0,0,0,NULL,NULL,3,114
120,YES,KAN,0000000000,Kandana,0,120,120,0,0,0,157,YES,0,0,0,0,0,NULL,NULL,3,120
124,YES,KAW,0000000000,Kapuwatte,0,124,124,0,0,0,158,YES,0,0,0,0,0,NULL,NULL,3,124
125,YES,KPL,0000000000,Karadipuwal,0,125,125,0,0,0,159,YES,0,0,0,0,0,NULL,NULL,3,125
127,YES,KAT,0000000000,Kattuwa,0,127,127,0,0,0,160,YES,0,0,0,0,0,NULL,NULL,3,127
132,YES,CAK,0000000000,"Katunayaka Airport",0,132,132,0,0,0,161,YES,0,0,0,0,0,NULL,NULL,3,132
133,YES,KTK,0000000000,Katunayake,0,133,133,0,0,0,162,YES,0,0,0,0,0,NULL,NULL,3,133
136,YES,KLA,0000000000,Kelaniya,0,136,136,0,0,0,163,YES,0,0,0,0,0,NULL,NULL,3,136
141,YES,KCH,0000000000,Kochchikade,0,141,141,0,0,0,164,YES,0,0,0,0,0,NULL,NULL,3,141
153,YES,KWW,0000000000,"Kuda Wawa",0,153,153,0,0,0,165,YES,0,0,0,0,0,NULL,NULL,3,153
154,YES,KUD,0000000000,Kudahakapola,0,154,154,0,0,0,166,YES,0,0,0,0,0,NULL,NULL,3,154
157,YES,KUR,0000000000,Kurana,0,157,157,0,0,0,167,YES,0,0,0,0,0,NULL,NULL,3,157
160,YES,LGM,0000000000,Liyanagemulla,0,160,160,0,0,0,168,YES,0,0,0,0,0,NULL,NULL,3,160
162,YES,LWL,0000000000,Lunuwaila,0,162,162,0,0,0,169,YES,0,0,0,0,0,NULL,NULL,3,162
164,YES,MDP,0000000000,Madampe,0,164,164,0,0,0,170,YES,0,0,0,0,0,NULL,NULL,3,164
166,YES,MKI,0000000000,Madurankuliya,0,166,166,0,0,0,171,YES,0,0,0,0,0,NULL,NULL,3,166
174,YES,MGE,0000000000,Mangalaeliya,0,174,174,0,0,0,172,YES,0,0,0,0,0,NULL,NULL,3,174
177,YES,MNG,0000000000,Manuwangama,0,177,177,0,0,0,173,YES,0,0,0,0,0,NULL,NULL,3,177
178,YES,MDA,0000000000,Maradana,0,178,178,0,0,0,174,YES,0,0,0,0,0,NULL,NULL,3,178
198,YES,MNL,0000000000,Mundal,0,198,198,0,0,0,175,YES,0,0,0,0,0,NULL,NULL,3,198
206,YES,NAT,0000000000,Nattandiya,0,206,206,0,0,0,176,YES,0,0,0,0,0,NULL,NULL,3,206
210,YES,NGB,0000000000,Negombo,0,210,210,0,0,0,177,YES,0,0,0,0,0,NULL,NULL,3,210
211,YES,NPK,0000000000,Nelumpokuna,0,211,211,0,0,0,178,YES,0,0,0,0,0,NULL,NULL,3,211
213,YES,NOR,0000000000,Nooranagar,0,213,213,0,0,0,179,YES,0,0,0,0,0,NULL,NULL,3,213
218,YES,PVI,0000000000,Palavi,0,218,218,0,0,0,180,YES,0,0,0,0,0,NULL,NULL,3,218
237,YES,PRL,0000000000,Peralanda,0,237,237,0,0,0,181,YES,0,0,0,0,0,NULL,NULL,3,237
238,YES,PNV,0000000000,Periyanagavillu,0,238,238,0,0,0,182,YES,0,0,0,0,0,NULL,NULL,3,238
250,YES,PCK,0000000000,Pulachchikulam,0,250,250,0,0,0,183,YES,0,0,0,0,0,NULL,NULL,3,250
253,YES,PTM,0000000000,Puttalam,0,253,253,0,0,0,184,YES,0,0,0,0,0,NULL,NULL,3,253
256,YES,RGM,0000000000,Ragama,0,256,256,0,0,0,185,YES,0,0,0,0,0,NULL,NULL,3,256
267,YES,SWR,0000000000,Sawarana,0,267,267,0,0,0,186,YES,0,0,0,0,0,NULL,NULL,3,267
269,YES,SED,0000000000,Seeduwa,0,269,269,0,0,0,187,YES,0,0,0,0,0,NULL,NULL,3,269
284,YES,TDY,0000000000,Thilladiya,0,284,284,0,0,0,188,YES,0,0,0,0,0,NULL,NULL,3,284
291,YES,TUD,0000000000,Tudella,0,291,291,0,0,0,189,YES,0,0,0,0,0,NULL,NULL,3,291
292,YES,TDR,0000000000,Tummodara,0,292,292,0,0,0,190,YES,0,0,0,0,0,NULL,NULL,3,292
307,YES,WKL,0000000000,Waikkala,0,307,307,0,0,0,191,YES,0,0,0,0,0,NULL,NULL,3,307
308,YES,WHP,0000000000,Walahapitiya,0,308,308,0,0,0,192,YES,0,0,0,0,0,NULL,NULL,3,308
311,YES,WSL,0000000000,Wanawasala,0,311,311,0,0,0,193,YES,0,0,0,0,0,NULL,NULL,3,311
