station_id,Station,distance_from_start_station,distance_from_end_station,Telephone No.,next_station_id,previous_station_id,distance_to_next_station,distance_to_previous_station,geo_location_id,latitude,longitude,train_line_station_id
46,Colombo Fort,0,158.596,,178,0,1.9,0,46,0,0,148
178,Maradana,1.9,156.696,2695722,51,46,1.768,1.9,178,0,0,174
51,Dematagoda,3.668,154.928,,136,178,3.205,1.768,51,0,0,149
136,Kelaniya,6.873,151.723,2911426,311,51,1.803,3.205,136,0,0,163
311,Wanawasala,8.676,149.92,,100,136,1.35,1.803,311,0,0,193
100,Hunupitiya,10.026,148.57,2932271,59,311,1.673,1.35,100,0,0,154
59,Enderamulla,11.699,146.897,,98,100,2.344,1.673,59,0,0,150
98,Horape,14.043,144.553,,256,59,1.503,2.344,98,0,0,153
256,Ragama,15.546,143.05,,237,98,1.531,1.503,256,0,0,185
237,Peralanda,17.077,141.519,,120,256,1.752,1.531,237,0,0,181
120,Kandana,18.829,139.767,,124,237,1.727,1.752,120,0,0,157
124,Kapuwatte,20.556,138.04,,107,120,1.597,1.727,124,0,0,158
107,Ja-Ela,22.153,136.443,2236409,291,124,1.781,1.597,107,0,0,155
291,Tudella,23.934,134.662,,154,107,1.246,1.781,291,0,0,189
154,Kudahakapola,25.18,133.416,,6,291,1.323,1.246,154,0,0,166
6,Alawatupitiya,26.503,132.093,,269,154,1.553,1.323,6,0,0,140
269,Seeduwa,28.056,130.54,2253571,160,6,2.068,1.553,269,0,0,187
160,Liyanagemulla,30.124,128.472,,133,269,2.323,2.068,160,0,0,168
133,Katunayake,32.447,126.149,,63,160,-0.117,2.323,133,0,0,162
63,Free Trade Zone,32.33,126.266,,157,133,2.98,-0.117,63,0,0,152
157,Kurana,35.31,123.286,,210,63,3.54,2.98,157,0,0,167
210,Negombo,38.85,119.746,031-2222271,127,157,3.288,3.54,210,0,0,177
127,kattuwa,42.138,116.458,,141,210,2.91,3.288,127,0,0,160
141,Kochchikade,45.048,113.548,031-2277271,307,127,1.597,2.91,141,0,0,164
307,Waikkala,46.645,111.951,,37,141,2.234,1.597,307,0,0,191
37,Bolawatte,48.879,109.717,,39,307,2.498,2.234,37,0,0,145
39,Borelessa,51.377,107.219,,162,37,2.977,2.498,39,0,0,146
162,Lunuwaila,54.354,104.242,031-2255271,292,39,4.967,2.977,162,0,0,169
292,Tummodara,59.321,99.275,,206,162,2.875,4.967,292,0,0,190
206,Nattandiya,62.196,96.4,032-2254271,308,292,2.961,2.875,206,0,0,176
308,Walahapitiya,65.157,93.439,,153,206,2.624,2.961,308,0,0,192
153,Kuda wawa,67.781,90.815,,211,308,2.91,2.624,153,0,0,165
211,Nelumpokuna,70.691,87.905,,164,153,1.305,2.91,211,0,0,178
164,Madampe,71.996,86.6,032-2247671,114,211,4.426,1.305,164,0,0,170
114,Kakkapalliya,76.422,82.174,,267,164,3.236,4.426,114,0,0,156
267,Sawarana,79.658,78.938,,44,114,2.804,3.236,267,0,0,186
44,Chilaw,82.462,76.134,032-2222271,177,267,6.378,2.804,44,0,0,147
177,Manuwangama,88.84,69.756,,29,44,2.853,6.378,177,0,0,173
29,Bangadeniya,91.693,66.903,032-2259570,18,177,4.487,2.853,29,0,0,143
18,Arachchikattuwa,96.18,62.416,,12,29,3.52,4.487,18,0,0,142
12,Anawilundawa,99.7,58.896,,31,18,2.226,3.52,12,0,0,141
31,Battaluoya,101.926,56.67,,250,12,3.392,2.226,31,0,0,144
250,Pulachchikulam,105.318,53.278,,198,31,4.453,3.392,250,0,0,183
198,Mundal,109.771,48.825,,174,250,6.956,4.453,198,0,0,175
174,Mangalaeliya,116.727,41.869,,166,198,4.944,6.956,174,0,0,172
166,Madurankuliya,121.671,36.925,,62,174,7.229,4.944,166,0,0,171
62,Erukkalam pendu,128.9,29.696,,218,166,1.565,7.229,62,0,0,151
218,Palavi,130.465,28.131,032-2269371,284,62,1.799,1.565,218,0,0,180
284,Thilladiya,132.264,26.332,,253,218,2.855,1.799,284,0,0,188
253,Puttalam,135.119,23.477,032-2265271,213,284,3.976,2.855,253,0,0,184
213,Nooranagar,139.095,19.501,,125,253,8.708,3.976,213,0,0,179
125,Karadipuwal,147.803,10.793,,238,213,10.793,8.708,125,0,0,159
238,Periyanagavillu,158.596,0,,#REF!,125,0,10.793,238,0,0,182
